Heliophysics Knowledgebase Features/Events Specification (Last updated:31-Aug-2010 09:16:08),,,,,,,,,,,,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skel_StartC2,float,various,0,0,0,5,0,5,5,5,5,9,0,0,0,5,5,5,5,5,5,5,5,5,method,wherewhen,o,-, Beginning Coord 2 of skeleton
AR_McIntoshCls,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,Active Region McIntosh class
AR_MtWilsonCls,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,Active Region Mt Wilson class
AR_ZurichCls,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,Active Region Zurich class
AR_PenumbraCls,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,Active Region Penumbra class
AR_CompactnessCls,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,Active Region Compactness class
AR_NOAAclass,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,Active Regon NOAA class
AR_NOAANum,long,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,NOAA designated Active Region Number (e.g. 10930)
AR_NumSpots,integer,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,pub,what,o,-,Number of spots in Active region
AR_Polarity,integer,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Polarity of Active region ('1' or '-1' for positive and negative respectively)
AR_SpotAreaRaw,float,LL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Area of spots in active region in plane of sky
AR_SpotAreaRawUncert,float,LL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty of AR_SpotAreaRaw
AR_SpotAreaRawUnit,string,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units of AR_SpotAreaRaw
AR_SpotAreaRepr,float,LL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Reprojected area of spots in heliographic units
AR_SpotAreaReprUncert,float,LL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty Reprojected area of spots in heliographic units
AR_SpotAreaReprUnit,string,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units of AR_SpotAreaReprUnit (e.g. 'millihemispheres' or 'steradians')
AR_IntensMin,float,various,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Minimum intensity of AR pixels
AR_IntensMax,float,various,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum intensity of AR pixels
AR_IntensMean,float,various,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Mean intensity of AR pixels
AR_IntensVar,float,various,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Variance of intensity of AR pixels
AR_IntensSkew,float,various,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Skewness of intensity of AR pixels
AR_IntensKurt,float,various,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Kurtosis of intensity of AR pixels
AR_IntensTotal,float,various,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Sum of intensities of AR pixels
AR_IntensUnit,string,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units used for AR_Intens... attributes
FL_GOESCls,string,-,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,GOES Flare class (e.g. 'X11')
CME_RadialLinVel,float,Lt,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Radial Linear fit radial velocity of CME
CME_RadialLinVelUncert,float,Lt,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty in CME_RadialLinVel
CME_RadialLinVelMin,float,Lt,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Mininum linear radial velocity of CME
CME_RadialLinVelMax,float,Lt,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum linear radial velocity of CME
CME_RadialLinVelStddev,float,Lt,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Standard Deviation of radial velocity of CME
CME_RadialLinVelUnit,string,-,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for Radial velocity of CME (e.g. 'km/s')
CME_AngularWidth,float,-,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Angular width of CME 
CME_AngularWidthUnit,string,-,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for angular width of CME (e.g. 'deg')
CME_Accel,float,Ltt,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Acceleration of CME 
CME_AccelUncert,float,Ltt,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty of CME acceleration
CME_AccelUnit,string,-,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for CME acceleration (e.g. 'km/s/s')
CME_Mass,float,M,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Mass contained in CME (e.g. '1e17')
CME_MassUncert,float,M,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty in mass contained in cme
CME_MassUnit,string,-,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for CME mass (e.g. 'g')
Area_AtDiskCenter,float,LL,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Area of event at disk center
Area_AtDiskCenterUncert,float,LL,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Uncertainty of area at disk center
Area_Raw,float,LL,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Area of event in sky plane
Area_Uncert,float,LL,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Uncertainty of area in sky plane
Area_Unit,string,-,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Units of area in sky plane (e.g. 'arcsec2')
Event_Npixels,long,-,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Number of pixels pertaining to event
Event_PixelUnit,string,-,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,0,5,5,5,5,5,method,what,o,-,Units of values given in pixels
FreqMaxRange,float,t,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum of the frequency range of oscillation
FreqMinRange,float,t,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Minimum of the frequency range of oscillation
FreqPeakPower,float,various,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Frequency at which power spectrum peaks
FreqUnit,string,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units of frequency (e.g. 'Hz')
IntensMaxAmpl,float,various,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum amplitude of oscillation in intensity signal
IntensMinAmpl,float,various,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Minimum amplitude of oscillation in intensity signal
IntensUnit,string,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units of intensity
OscillNPeriods,float,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Number of periods detected in oscillation
OscillNPeriodsUncert,float,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty of number of periods detected in oscillation
PeakPower,float,various,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Peak power of oscillation
PeakPowerUnit,string,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units of peak power of oscillation
VelocMaxAmpl,float,Lt,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum amplitude of oscillation in velocity signal (e.g. doppler signal)
VelocMaxPower,float,Lt,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum power of oscillation in velocity signal
VelocMaxPowerUncert,float,Lt,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty in max power in velocity signal
VelocMinAmpl,float,Lt,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Minimum amplitude in oscillating velocity signal
VelocUnit,string,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for velocity (e.g. 'km/s')
WaveDisplMaxAmpl,float,L,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum amplitude of oscillation in displacement signal
WaveDisplMinAmpl,float,L,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Minimum amplitude of oscillatoin in displacement signal
WaveDisplUnit,string,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for displacement amplitude (e.g. 'arcsec')
WavelMaxPower,float,L,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Wavelength at which spatial power spectrum peaks
WavelMaxPowerUncert,float,L,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Uncertainty of WavelMaxPower
WavelMaxRange,float,L,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Maximum wavelength of wavelength range for spatial oscillation
WavelMinRange,float,L,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Minimum wavelength of wavelength range for spatial oscillation
WavelUnit,string,-,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for spatial oscillation wavelength (e.g. 'km')
EF_PosPeakFluxOnsetRate,float,BLLt,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Emergence rate of positive polarity flux 
EF_NegPeakFluxOnsetRate,float,BLLt,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Emergence rate of negative polarity flux
EF_OnsetRateUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Emergence rate unit (e.g. 'Mx/s')
EF_SumPosSignedFlux,float,BLL,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Total positive signed flux at completion
EF_SumNegSignedFlux,float,BLL,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Total negative signed flux at completion
EF_FluxUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Flux unit (e.g. 'Mx')
EF_AxisOrientation,float,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Axis orientation of emerging flux pair (CCW from parallels in Stonyhurst longitude
EF_AxisOrientationUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Axis oriention unit (deg)
EF_AxisLength,float,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Axis length of emerging flux pair at completion
EF_PosEquivRadius,float,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Equivalent radius (i.e. sqrt(area/pi) of positive polarity at completion
EF_NegEquivRadius,float,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Equivalent radius (i.e. sqrt(area/pi) of negative polarity at completion
EF_LengthUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,Units for EF_AxisLength
EF_AspectRatio,float,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,(EF_PosEquivRadius+EF_NegEquivRadius)/(2*EF_AxisLength)
EF_ProximityRatio,float,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,method,what,o,-,(EF_PosEquivRadius-EF_NegEquivRadius)/(2*EF_AxisLength)
MaxMagFieldStrength,float,B,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,method,what,o,-,Maximum magnetic field strength
MaxMagFieldStrengthUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,method,what,o,-,Units for maximum  magnetic field strength (e.g. 'G' or 'Mx/cm2')
Outflow_Length,float,L,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Length of outflow (can be for CoronalJet or SpraySurge)
Outflow_LengthUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Units for length of outflow (e.g. 'arcsec')
Outflow_Width,float,L,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Width of outflow
Outflow_WidthUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Units for width of outflow (e.g. 'arcsec')
Outflow_Speed,float,Lt,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Outflow speed of outflow
Outflow_TransSpeed,float,Lt,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Transverse speed relative to outflow direction
Outflow_SpeedUnit,string,-,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Units for speed (e.g. 'km/s')
Outflow_OpeningAngle,float,-,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,method,what,o,-,Opening angle of outflow (in degrees)
OBS_DataPrepURL,string,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,data,how,o,Reference uri,URL pointing to information about how data was reduced
FL_PeakFlux,float,Ellt,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Flux at peak time
FL_PeakFluxUnit,string,-,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Peak flux unit (e.g. erg/cm^2/s)
FL_PeakTemp,float,K,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Temperature at peak time
FL_PeakTempUnit,string,-,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,method,what,o,-,Unit for FL_PeakTemp (K)
